epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,8122.73,0.86832,0.51251,0.89824,0.71894,0.6546,0.71573,0.44664,1.44536,1.03367,1.21425,0.000522039,0.000522039,0.000522039
88,8209.37,0.88899,0.51238,0.89678,0.67339,0.64469,0.69849,0.433,1.48515,1.02182,1.23998,0.000517539,0.000517539,0.000517539
89,8296.41,0.88685,0.51492,0.89874,0.66959,0.66701,0.70383,0.43078,1.44501,0.96078,1.21247,0.00051304,0.00051304,0.00051304
90,8383.2,0.87105,0.51234,0.90038,0.74406,0.62421,0.69048,0.41866,1.46083,0.91062,1.21502,0.00050854,0.00050854,0.00050854
91,8469.52,0.84846,0.50131,0.88478,0.84504,0.56899,0.66148,0.39016,1.47049,0.88208,1.2089,0.00050404,0.00050404,0.00050404
92,8556.84,0.89832,0.52093,0.89868,0.68642,0.56868,0.64568,0.38605,1.47522,0.95851,1.21188,0.000499541,0.000499541,0.000499541
93,8643.69,0.86498,0.51663,0.8923,0.67837,0.57001,0.63734,0.38302,1.45209,1.01462,1.20291,0.000495041,0.000495041,0.000495041
94,8730.85,0.84327,0.50045,0.88022,0.66098,0.56834,0.6387,0.3879,1.46926,1.07392,1.19746,0.000490542,0.000490542,0.000490542
95,8819.78,0.84855,0.49295,0.89576,0.66582,0.65045,0.68127,0.41742,1.48561,1.06113,1.21168,0.000486042,0.000486042,0.000486042
96,8908.48,0.89533,0.51443,0.89178,0.7284,0.58765,0.67886,0.40973,1.47131,1.04669,1.20567,0.000481543,0.000481543,0.000481543
97,8995.91,0.83089,0.49056,0.88923,0.72843,0.61603,0.67334,0.40131,1.43611,1.02524,1.1847,0.000477043,0.000477043,0.000477043
98,9083.16,0.84116,0.48901,0.88398,0.71554,0.61086,0.67062,0.41432,1.39749,1.01854,1.16904,0.000472544,0.000472544,0.000472544
99,9170.35,0.80477,0.47161,0.88489,0.7287,0.61288,0.68074,0.40542,1.39103,1.04117,1.15307,0.000468044,0.000468044,0.000468044
100,9257.56,0.83562,0.49707,0.89566,0.70081,0.63244,0.67918,0.40747,1.40597,1.09579,1.15853,0.000463545,0.000463545,0.000463545
101,9344.72,0.83288,0.48598,0.88507,0.7704,0.59438,0.68481,0.40296,1.40663,1.00252,1.15396,0.000459045,0.000459045,0.000459045
102,9432,0.83054,0.49091,0.88893,0.78951,0.59089,0.67823,0.4115,1.39725,0.94535,1.15502,0.000454545,0.000454545,0.000454545
103,9519,0.83535,0.48305,0.88871,0.74099,0.54066,0.66923,0.40173,1.3968,0.95776,1.15505,0.000450046,0.000450046,0.000450046
104,9605.79,0.79925,0.4719,0.88209,0.62435,0.64023,0.68676,0.42889,1.39593,1.04777,1.15322,0.000445546,0.000445546,0.000445546
105,9692.89,0.7934,0.47883,0.87517,0.59385,0.66915,0.67776,0.42587,1.39823,0.98294,1.16432,0.000441047,0.000441047,0.000441047
106,9779.97,0.81012,0.49695,0.88699,0.78185,0.5169,0.66025,0.40634,1.42178,0.96337,1.18565,0.000436547,0.000436547,0.000436547
107,9866.93,0.80459,0.46671,0.8759,0.67975,0.57385,0.64741,0.3806,1.47851,0.99112,1.20364,0.000432048,0.000432048,0.000432048
108,9953.72,0.8121,0.48545,0.8793,0.66874,0.58594,0.64699,0.39422,1.40876,0.976,1.19458,0.000427548,0.000427548,0.000427548
109,10041.4,0.80313,0.47496,0.89016,0.67827,0.65035,0.67541,0.41918,1.45309,0.97817,1.20803,0.000423049,0.000423049,0.000423049
110,10128.3,0.81009,0.47451,0.87723,0.67598,0.64445,0.67495,0.40816,1.46596,0.95059,1.21787,0.000418549,0.000418549,0.000418549
111,10215.3,0.82978,0.48421,0.87413,0.66559,0.62187,0.67121,0.4065,1.47916,0.93525,1.21261,0.000414049,0.000414049,0.000414049
112,10302.3,0.79577,0.46805,0.87184,0.65615,0.67129,0.68114,0.43026,1.47161,0.97165,1.20174,0.00040955,0.00040955,0.00040955
113,10389.2,0.79017,0.4634,0.86981,0.73994,0.60589,0.68606,0.42828,1.43292,0.9769,1.1866,0.00040505,0.00040505,0.00040505
114,10476.5,0.75765,0.44605,0.86634,0.73858,0.63807,0.70876,0.4349,1.41778,0.93454,1.18008,0.000400551,0.000400551,0.000400551
115,10563.3,0.79314,0.45678,0.87161,0.72289,0.61879,0.71113,0.43654,1.42703,0.91893,1.18021,0.000396051,0.000396051,0.000396051
116,10650,0.79331,0.4621,0.86333,0.76041,0.65927,0.70458,0.43734,1.42881,0.91745,1.18726,0.000391552,0.000391552,0.000391552
117,10737.2,0.76331,0.45487,0.85277,0.7269,0.65786,0.69731,0.42761,1.41483,0.91539,1.16848,0.000387052,0.000387052,0.000387052
118,10824.4,0.77398,0.46795,0.87054,0.7257,0.64427,0.69046,0.42038,1.41849,0.97026,1.1653,0.000382553,0.000382553,0.000382553
119,10911.2,0.76724,0.45674,0.87221,0.74984,0.58978,0.68507,0.42265,1.41976,1.00569,1.18062,0.000378053,0.000378053,0.000378053
120,10998.7,0.78876,0.47023,0.87455,0.71497,0.65703,0.68934,0.42153,1.44758,0.96166,1.21295,0.000373554,0.000373554,0.000373554
121,11085.7,0.75704,0.45464,0.86877,0.80663,0.61997,0.66787,0.40402,1.448,0.98009,1.20335,0.000369054,0.000369054,0.000369054
122,11172.7,0.74411,0.44313,0.86634,0.78202,0.61158,0.66525,0.41309,1.42524,1.04514,1.19066,0.000364554,0.000364554,0.000364554
123,11259.9,0.77764,0.45687,0.86446,0.67751,0.6225,0.66637,0.4147,1.40645,1.06689,1.17664,0.000360055,0.000360055,0.000360055
124,11347.2,0.74365,0.43787,0.86325,0.55789,0.62896,0.64642,0.39745,1.41976,1.09877,1.17178,0.000355555,0.000355555,0.000355555
125,11434.7,0.748,0.44325,0.86374,0.54791,0.61119,0.64638,0.39237,1.40425,1.065,1.16573,0.000351056,0.000351056,0.000351056
126,11521.4,0.73523,0.43055,0.85967,0.66432,0.59714,0.66281,0.41275,1.4062,1.051,1.16212,0.000346556,0.000346556,0.000346556
127,11608.4,0.76898,0.43984,0.86895,0.75662,0.58823,0.66363,0.40371,1.42447,1.07503,1.18246,0.000342057,0.000342057,0.000342057
128,11695.5,0.7384,0.4428,0.86151,0.73064,0.57968,0.64202,0.39996,1.45986,1.15828,1.20712,0.000337557,0.000337557,0.000337557
129,11782.7,0.74871,0.44162,0.86265,0.65296,0.55564,0.63567,0.39625,1.45252,1.1594,1.20904,0.000333058,0.000333058,0.000333058
130,11870.3,0.70768,0.42092,0.84985,0.65006,0.52642,0.63564,0.3867,1.44474,1.10228,1.202,0.000328558,0.000328558,0.000328558
131,11957.3,0.74911,0.44089,0.86078,0.60314,0.53099,0.62003,0.39161,1.45063,1.06897,1.2058,0.000324058,0.000324058,0.000324058
132,12044.5,0.74001,0.43853,0.86911,0.65351,0.57429,0.6359,0.39682,1.43829,1.12932,1.20166,0.000319559,0.000319559,0.000319559
133,12131.5,0.73552,0.42619,0.85745,0.6336,0.56894,0.63787,0.3863,1.44096,1.1079,1.20436,0.000315059,0.000315059,0.000315059
134,12218.5,0.71772,0.42865,0.85888,0.64396,0.57451,0.63355,0.38551,1.44928,1.06257,1.20436,0.00031056,0.00031056,0.00031056
135,12305.3,0.69796,0.41343,0.84351,0.66052,0.55823,0.64375,0.40528,1.43381,1.03313,1.20444,0.00030606,0.00030606,0.00030606
136,12392.5,0.73537,0.43168,0.85883,0.66239,0.59214,0.64385,0.39999,1.4366,1.06809,1.21649,0.000301561,0.000301561,0.000301561
137,12479.8,0.72061,0.43322,0.85952,0.65015,0.63102,0.65748,0.40701,1.47255,1.1035,1.23526,0.000297061,0.000297061,0.000297061
138,12567.2,0.73296,0.43224,0.85438,0.58688,0.60252,0.65877,0.40078,1.48045,1.14706,1.237,0.000292562,0.000292562,0.000292562
139,12654.2,0.71781,0.42247,0.86226,0.58518,0.61423,0.65202,0.40224,1.45402,1.12308,1.21882,0.000288062,0.000288062,0.000288062
140,12741.1,0.67499,0.39994,0.84834,0.59641,0.64296,0.6675,0.41444,1.45556,1.10778,1.22599,0.000283563,0.000283563,0.000283563
141,12828.4,0.71735,0.42292,0.85969,0.64802,0.61058,0.68108,0.42013,1.47281,1.12451,1.24192,0.000279063,0.000279063,0.000279063
142,12915.3,0.70444,0.42357,0.85963,0.68883,0.59785,0.68711,0.42796,1.46115,1.16248,1.23928,0.000274563,0.000274563,0.000274563
143,13002.6,0.69436,0.41282,0.8523,0.70219,0.60716,0.70032,0.42852,1.43538,1.11917,1.2212,0.000270064,0.000270064,0.000270064
144,13089.6,0.70063,0.41541,0.8504,0.65738,0.62891,0.69985,0.42991,1.43208,0.99598,1.20152,0.000265564,0.000265564,0.000265564
145,13176.9,0.71331,0.42932,0.85476,0.6544,0.61448,0.69714,0.42838,1.43964,0.95101,1.20727,0.000261065,0.000261065,0.000261065
146,13263.6,0.7096,0.42545,0.8578,0.63709,0.62664,0.68758,0.42774,1.44105,0.95707,1.21826,0.000256565,0.000256565,0.000256565
147,13350.6,0.68411,0.40666,0.8503,0.63107,0.65089,0.70409,0.44551,1.41644,0.98953,1.21691,0.000252066,0.000252066,0.000252066
148,13437.9,0.69811,0.42757,0.8493,0.67004,0.61245,0.7006,0.44031,1.41031,0.99944,1.20794,0.000247566,0.000247566,0.000247566
149,13525.1,0.71916,0.42249,0.85947,0.66155,0.61151,0.69532,0.44887,1.40801,1.05033,1.1987,0.000243067,0.000243067,0.000243067
150,13612.2,0.68462,0.40764,0.84787,0.68382,0.58823,0.69333,0.45131,1.38761,1.05518,1.18252,0.000238567,0.000238567,0.000238567
151,13699.6,0.6706,0.39932,0.85376,0.61303,0.60532,0.6872,0.44543,1.39946,1.02245,1.19434,0.000234068,0.000234068,0.000234068
152,13786.2,0.68466,0.41173,0.8438,0.68119,0.59338,0.68807,0.42516,1.41577,0.98505,1.20522,0.000229568,0.000229568,0.000229568
153,13873.3,0.66582,0.39792,0.84302,0.70267,0.63005,0.70605,0.43366,1.41512,0.99748,1.20146,0.000225068,0.000225068,0.000225068
154,13960.4,0.69449,0.40625,0.8495,0.68575,0.63457,0.707,0.445,1.39913,1.03165,1.189,0.000220569,0.000220569,0.000220569
155,14047.7,0.657,0.39329,0.83641,0.71249,0.60177,0.7066,0.44565,1.38748,1.04212,1.17898,0.000216069,0.000216069,0.000216069
156,14134.8,0.6678,0.40049,0.84814,0.66467,0.61385,0.70973,0.4478,1.40163,1.04484,1.18079,0.00021157,0.00021157,0.00021157
157,14222,0.6715,0.40063,0.84633,0.59194,0.58821,0.69815,0.43808,1.41115,1.06067,1.18805,0.00020707,0.00020707,0.00020707
158,14309.1,0.67211,0.399,0.84007,0.6065,0.59517,0.69428,0.43759,1.41223,1.10816,1.19562,0.000202571,0.000202571,0.000202571
159,14395.8,0.63451,0.38957,0.83765,0.61585,0.63202,0.69271,0.43409,1.41645,1.10102,1.20512,0.000198071,0.000198071,0.000198071
160,14482.9,0.67086,0.4072,0.85019,0.6773,0.60831,0.70335,0.43381,1.41589,1.02037,1.20449,0.000193572,0.000193572,0.000193572
161,14570.7,0.62485,0.38003,0.8423,0.6733,0.64479,0.70493,0.43625,1.41531,1.01836,1.20401,0.000189072,0.000189072,0.000189072
